year,period,       value_FarmProducts,       value_ProcessedFoods,       value
2013,M01,228.65481927710846,179.01144578313242,202.5
2013,M02,219.210650887574,180.49069069069066,204.3
2013,M03,228.2305389221556,180.69429429429422,204.0
2013,M04,219.54529411764696,180.58622754491026,203.5
2013,M05,225.36176470588228,181.11497005988014,204.1
2013,M06,216.37341040462414,180.52754491017973,204.3
2013,M07,214.65780346820816,180.60668604651175,204.4
2013,M08,218.44702380952384,178.0239067055394,204.2
2013,M09,211.96627906976747,179.70174927113715,203.9
2013,M10,216.9556818181817,178.70350877192985,202.5
2013,M11,216.5238636363636,177.84285714285713,201.2
2013,M12,216.60465116279073,177.62660818713445,202.0
2013,M13,229.05,177.73663366336632,203.4
2014,M01,222.12631578947358,181.76268221574347,203.8
2014,M02,221.07861271676313,180.98728323699441,205.7
2014,M03,226.4678362573099,181.89364161849716,207.0
2014,M04,234.38323699421966,187.74841498559076,208.3
2014,M05,231.77341040462437,187.39020172910674,208.0
2014,M06,225.09886363636363,186.38200000000023,208.3
2014,M07,217.90113636363648,185.66164772727268,208.0
2014,M08,214.77916666666667,183.98295454545436,207.0
2014,M09,216.95895953757235,185.1231428571428,206.4
2014,M10,218.04488636363632,185.06335227272714,203.4
2014,M11,223.69657142857145,183.35382436260633,200.9
2014,M12,226.83160919540225,182.41652421652412,197.0
2014,M13,232.76960000000003,180.85419354838686,205.3
2015,M01,220.41352941176476,179.9016949152542,192.0
2015,M02,209.83372781065086,177.95983146067408,191.1
2015,M03,210.2028901734105,175.75365168539327,191.5
2015,M04,206.82068965517252,175.17893258426955,190.9
2015,M05,211.96091954022998,177.03352112676066,193.4
2015,M06,219.8275280898877,177.25112359550542,194.8
2015,M07,216.54034090909087,177.51129943502832,193.9
2015,M08,221.49657142857143,177.99014084507036,191.9
2015,M09,209.1080213903744,176.54815864022657,189.1
2015,M10,203.53593750000013,174.64573863636366,187.5
2015,M11,199.12634408602148,175.13898305084737,185.7
2015,M12,203.01010638297865,172.97740112994347,183.5
2015,M13,222.98880000000008,173.64724919093857,190.4
2016,M01,208.83152173913032,171.41002785515323,182.6
2016,M02,202.0828877005347,173.90814606741583,181.3
2016,M03,195.5629032258064,173.77780898876392,182.1
2016,M04,191.36902173913043,171.9197183098592,183.2
2016,M05,190.45347593582886,173.34591549295774,185.3
2016,M06,188.84179894179886,174.23697478991593,187.6
2016,M07,185.85783783783774,175.61648044692745,187.7
2016,M08,177.63595505617977,172.00529247910873,186.6
2016,M09,179.33703703703694,173.05666666666667,186.9
2016,M10,172.3924731182796,168.94825737265404,186.7
2016,M11,175.32950819672132,170.1221333333333,186.3
2016,M12,180.3994444444444,170.32647058823525,188.2
